data,real,pred_GRU,pred_LSTM,pred_Ensemble
2018-05-01,46181.2,46902.805683400635,45579.550532107074,46931.058473017096
2018-06-01,44862.7,47379.79691999994,46812.79231657352,46691.81040127479
2018-07-01,45276.2,46460.67234668626,45492.944705007496,45746.24352702803
2018-08-01,49348.2,46412.37973424947,45911.148585520066,47088.78255114397
2018-09-01,61736.9,48229.40924999383,49964.81652579967,52311.71270421734
2018-10-01,45259.6,54393.17728131553,62265.798204947496,54287.91634024567
2018-11-01,49978.0,49202.01089153033,45726.76967314445,48412.71942930606
2018-12-01,62392.3,52383.31627241756,50510.66912156466,59744.41708299368
2019-01-01,46359.3,54604.862565006566,62765.405555802,48046.61998467835
2019-02-01,46746.8,50931.363096024295,46860.42171728788,45738.027704494736
2019-03-01,54110.5,51363.7545607056,47357.66636099714,51540.50948041129
2019-04-01,47678.9,53789.53429153245,54681.46763058267,46633.52574160301
2019-05-01,47625.2,49732.115527245536,47977.27633804864,48074.48478536591
2019-06-01,47743.8,49457.03885515089,47912.50613026297,49165.626443407804
2019-07-01,48346.4,49006.55053743121,48037.05178803771,48486.79541922162
2019-08-01,53610.4,49092.90879799538,48638.257407681675,48911.53626225565
2019-09-01,66122.6,52128.639678530606,53933.08635799378,57284.547598961275
2019-10-01,48581.8,60048.12958196701,66517.808999398,56375.12354536753
2019-11-01,54400.6,52630.729568480085,49064.683903990874,53268.08914099657
2019-12-01,66501.2,56208.754184602745,54943.65474250096,63996.44813224673
2020-01-01,48517.7,59254.27649230946,66973.55739001908,53604.29423932123
2020-02-01,50935.6,54113.46968984853,49041.79673285885,50972.081578248566
2020-03-01,50385.9,55403.98098575806,51544.9880951264,54988.21026363448
2020-04-01,56193.8,53777.68873431149,51013.413587158306,55002.80796253836
2020-05-01,75020.8,54821.62984775082,55715.40499385562,53796.499550844346
2020-06-01,76928.5,59461.3115159718,74340.4031771323,65193.70803255236
2020-07-01,50861.3,63904.48852799717,76297.62535831818,71900.22037042922
2020-08-01,50123.5,59310.9076292981,50450.28618634949,55572.15537051229
2020-09-01,51062.5,58970.50184303732,49725.797156639994,55586.39204603445
2020-10-01,51129.4,56585.43653086672,50649.261647157036,53214.17811971965
2020-11-01,51865.9,53523.78198973774,51677.674637177086,54230.74774256209
2020-12-01,52449.1,53030.1119098161,52421.65859375207,54486.64805657946
2021-01-01,51554.8,53081.05559941265,52978.88307474628,52982.547098939714
2021-02-01,53558.7,52788.541942613636,52076.00378557097,52104.17440391104
2021-03-01,54741.3,53651.8979974217,54083.370619279856,53898.93926554445
2021-04-01,53975.6,54409.828185297876,55235.205474571085,55926.77686409629
2021-05-01,61473.8,52702.024673603104,54571.89702789574,54473.8154350221
2021-06-01,89235.1,60089.80915775048,62083.27486384398,60087.67188723823
2021-07-01,74592.1,87576.02513122336,89793.68820088246,80052.07046973456
2021-08-01,53777.7,73616.49500803795,75111.01084371802,75099.9759132188
2021-09-01,55006.7,52992.21775200173,54359.553203448166,55050.43775240124
2021-10-01,54481.3,53878.52529407467,55698.93483303691,55726.082783595506
2021-11-01,53909.9,57950.36180377343,54944.06557631904,56177.214243074544
2021-12-01,55550.4,56081.31669856687,54385.790044060355,55400.92890371426
2022-01-01,55692.6,56114.877884875736,56033.237612045064,56184.29590491271
2022-02-01,59061.5,55977.08882713888,56167.66133047887,56743.7896843995
2022-03-01,61552.1,57856.007233508375,59533.64759535197,58430.74201239636
2022-04-01,67072.1,59753.191591632254,62009.7924143003,60852.46006071513
2022-05-01,88995.5,65460.28395032101,67706.08093694106,69646.05245094548
2022-06-01,83429.0,80861.5179242802,89486.27338707849,85754.52112061971
2022-07-01,61424.5,81572.35082518226,83831.53401971399,83403.46113878998
2022-08-01,71733.8,67976.95912122315,61968.01482692612,62957.19680674854
2022-09-01,61764.7,73055.10610334658,72417.42887419002,69670.23862275618
2022-10-01,61699.1,65410.91908029263,62467.53008308789,63483.30670789289
2022-11-01,61685.7,64235.44141728918,62620.51116018928,64288.63987655514
2022-12-01,62865.9,63122.628594574264,62642.020648988466,63361.92354981159
2023-01-01,62712.3,63379.90493907829,63828.24055004036,63529.04782802686
2023-02-01,65127.6,63267.06832672323,63659.60980045938,63706.24594905139
2023-03-01,65797.1,64949.75792466961,66062.7337438002,64997.38597218655
2023-04-01,66539.5,65818.84086491853,66704.06211153581,66945.3347131607
2023-05-01,82421.9,64076.190108641684,63160.51206105202,66209.60990855773
2023-06-01,97632.6,79240.47935143122,78264.57705476612,71897.55270705672
2023-07-01,90507.7,94160.83781808225,92779.10492032186,86825.29792178249
2023-08-01,67196.8,87985.72005228951,85954.26392057512,90205.79192206028
2023-09-01,69552.8,65725.50670052784,63862.186694447926,66366.26638321803
2023-10-01,67015.1,67556.19752880117,66213.1339897137,68332.96522671422
2023-11-01,68196.7,70223.27704747036,67665.25219046324,69709.04524488255
2023-12-01,96173.3,69865.42849431811,68864.37771010245,69343.29482986692
2024-01-01,68430.3,87884.12102554367,96895.7239084456,89073.51284997493
2024-02-01,71736.7,71504.38986960276,69036.67310840944,69451.59802473488
2024-03-01,72460.0,74017.85416580786,72401.78136948361,72428.87369637354
2024-04-01,80743.1,73798.33347473561,73141.35304288226,73669.80228853149
2024-05-01,110107.1,79568.81041831784,81553.70143571726,84569.7085692185
2024-06-01,94632.5,98688.90343244025,109781.77388874818,101960.82850000617
2024-07-01,73375.9,93080.05772508765,94467.63023913349,94454.20910817056
2024-08-01,72622.9,80589.36982608725,74105.30602992453,73929.26839460873
